Palika,Season,Crop,Count,Avg_Yield
Barbardiya,crop_monsoon,rice,222,5013.303873873873
Barbardiya,crop_monsoon,ground_nut,8,1828.43125
Barbardiya,crop_monsoon,grassland,7,0.0
Barbardiya,crop_monsoon,maize,4,3085.785
Barbardiya,crop_monsoon,fallow,2,0.0
Barbardiya,crop_monsoon,vegetables,2,2363.445
Barbardiya,crop_monsoon,soyabean,1,2352.94
Barbardiya,crop_monsoon,shrub_tree,1,0.0
Barbardiya,crop_summer,fallow,137,0.0
Barbardiya,crop_summer,maize,72,4707.038888888888
Barbardiya,crop_summer,vegetables,15,4887.02
Barbardiya,crop_summer,black_gram,9,1949.424444444444
Barbardiya,crop_summer,grassland,7,0.0
Barbardiya,crop_summer,rice,5,4970.588
Barbardiya,crop_summer,pulses,1,2352.94
Barbardiya,crop_summer,shrub_tree,1,0.0
Barbardiya,crop_winter,mustard,56,1796.0820754716979
Barbardiya,crop_winter,wheat,46,4797.979111111111
Barbardiya,crop_winter,lentil,37,1959.7148571428572
Barbardiya,crop_winter,vegetables,33,4449.664848484848
Barbardiya,crop_winter,potato,29,5626.339655172415
Barbardiya,crop_winter,pea,23,1868.7743478260866
Barbardiya,crop_winter,spices,11,2961.23
Barbardiya,crop_winter,fallow,9,0.0
Barbardiya,crop_winter,grassland,5,0.0
Barbardiya,crop_winter,shrub_tree,1,0.0
