Palika,Season,Crop,Count,Avg_Yield
Belauri,crop_monsoon,rice,189,5275.603968253968
Belauri,crop_monsoon,sugarcane,46,98449.31195652173
Belauri,crop_monsoon,grassland,26,0
Belauri,crop_monsoon,shrub_tree,11,0
Belauri,crop_monsoon,fallow,10,0
Belauri,crop_monsoon,banana,9,28335.904444444444
Belauri,crop_monsoon,maize,9,2603.4866666666667
Belauri,crop_monsoon,mole,3,388.8866666666666
Belauri,crop_monsoon,vegetables,1,4201.68
Belauri,crop_monsoon,ground_nut,1,588.24
Belauri,crop_summer,fallow,136,0
Belauri,crop_summer,maize,69,2909.9060869565214
Belauri,crop_summer,sugarcane,52,94821.38634615384
Belauri,crop_summer,grassland,12,0
Belauri,crop_summer,shrub_tree,11,0
Belauri,crop_summer,banana,9,32105.623333333333
Belauri,crop_summer,vegetable_mixes,8,4595.58875
Belauri,crop_summer,rice,3,4052.286666666667
Belauri,crop_summer,vegetables,2,6512.6050000000005
Belauri,crop_summer,lentil,1,1838.24
Belauri,crop_summer,potato,1,8588.24
Belauri,crop_summer,mustard,1,588.24
Belauri,crop_winter,mustard,98,1324.159875
Belauri,crop_winter,wheat,71,2913.890141
Belauri,crop_winter,sugarcane,43,101249.41558139535
Belauri,crop_winter,lentil,32,966.8699999999999
Belauri,crop_winter,potato,28,6033.240370370371
Belauri,crop_winter,vegetables,13,10639.589166666667
Belauri,crop_winter,shrub_tree,11,0
Belauri,crop_winter,banana,9,32105.623333333333
Belauri,crop_winter,fallow,6,0
Belauri,crop_winter,grassland,6,0
Belauri,crop_winter,spices,2,3186.27
Belauri,crop_winter,maize,1,3613.45
Belauri,crop_winter,pea,1,833.33
,,Total,931,
