Palika,Season,Crop,Count,Avg_Yield
Lamki Chuha,crop_monsoon,rice,183,4232.995300546449
Lamki Chuha,crop_monsoon,maize,16,1699.273125
Lamki Chuha,crop_monsoon,grassland,14,0
Lamki Chuha,crop_monsoon,shrub_tree,10,0
Lamki Chuha,crop_monsoon,vegetables,2,2352.94
Lamki Chuha,crop_monsoon,black_gram,2,1927.83
Lamki Chuha,crop_monsoon,banana,2,34558.825
Lamki Chuha,crop_monsoon,ground_nut,1,4411.76
Lamki Chuha,crop_summer,fallow,145,0
Lamki Chuha,crop_summer,maize,37,2521.708108108108
Lamki Chuha,crop_summer,grassland,13,0
Lamki Chuha,crop_summer,rice,11,2806.2145454545457
Lamki Chuha,crop_summer,vegetables,10,8053.223333333334
Lamki Chuha,crop_summer,shrub_tree,10,0
Lamki Chuha,crop_summer,banana,2,34558.825
Lamki Chuha,crop_summer,pulses,1,588.24
Lamki Chuha,crop_summer,sugarcane,1,14117.65
Lamki Chuha,crop_summer,spices,1,
Lamki Chuha,crop_summer,black_gram,1,1102.94
Lamki Chuha,crop_summer,Dhaicha,1,19607.84
Lamki Chuha,crop_summer,mustard,1,500
Lamki Chuha,crop_winter,wheat,91,2690.951208791209
Lamki Chuha,crop_winter,mustard,73,1683.124242424242
Lamki Chuha,crop_winter,lentil,44,822.8275
Lamki Chuha,crop_winter,potato,13,8878.640000000001
Lamki Chuha,crop_winter,shrub_tree,10,0
Lamki Chuha,crop_winter,grassland,9,0
Lamki Chuha,crop_winter,vegetables,7,7156.860000000001
Lamki Chuha,crop_winter,spices,6,4088.236
Lamki Chuha,crop_winter,fallow,2,0
Lamki Chuha,crop_winter,maize,2,906.865
Lamki Chuha,crop_winter,banana,2,34558.825
Lamki Chuha,crop_winter,sugarcane,1,14117.65
Lamki Chuha,crop_winter,flower,1,2205.88
,,Total ,725,
