Palika,Season,Crop,Count,Avg_Yield
Madhuban,crop_monsoon,rice,210,5038.370714285715
Madhuban,crop_monsoon,soyabean,13,2283.183076923077
Madhuban,crop_monsoon,grassland,12,0
Madhuban,crop_monsoon,shrub_tree,5,0
Madhuban,crop_monsoon,millet,2,2205.88
Madhuban,crop_monsoon,fallow,1,0
Madhuban,crop_monsoon,vegetables,1,1470.59
Madhuban,crop_monsoon,maize,1,3431.37
Madhuban,crop_summer,fallow,126,0
Madhuban,crop_summer,maize,65,4486.849076923077
Madhuban,crop_summer,vegetables,30,6606.831333333333
Madhuban,crop_summer,grassland,12,0
Madhuban,crop_summer,shrub_tree,5,0
Madhuban,crop_summer,rice,5,4670.586
Madhuban,crop_summer,black_gram,2,1080.88
Madhuban,crop_winter,mustard,55,1917.546904761905
Madhuban,crop_winter,wheat,47,3707.231489361702
Madhuban,crop_winter,pea,32,1779.940938
Madhuban,crop_winter,vegetables,31,6242.092258064517
Madhuban,crop_winter,potato,30,6916.946333333334
Madhuban,crop_winter,lentil,27,1369.6000000000001
Madhuban,crop_winter,fallow,14,0
Madhuban,crop_winter,spices,10,1921.568
Madhuban,crop_winter,shrub_tree,5,0
Madhuban,crop_winter,grassland,4,0
Madhuban,crop_winter,barley,2,1348.0349999999999
Madhuban,crop_winter,maize,1,2941.18
,,Total ,748,
