Palika,Season,Crop,Count,Avg_Yield
Punarbas,crop_monsoon,rice,207,4435.448405797102
Punarbas,crop_monsoon,maize,47,2164.4314893617025
Punarbas,crop_monsoon,sugarcane,33,88153.33333333333
Punarbas,crop_monsoon,grassland,17,0.0
Punarbas,crop_monsoon,fallow,11,0.0
Punarbas,crop_monsoon,shrub_tree,11,0.0
Punarbas,crop_monsoon,black_gram,10,788.501
Punarbas,crop_monsoon,banana,9,30466.844444444443
Punarbas,crop_monsoon,mole,6,631.9466666666666
Punarbas,crop_monsoon,vegetables,3,3109.2433333333333
Punarbas,crop_monsoon,soyabean,2,900.74
Punarbas,crop_monsoon,vegetable_mixes,2,3739.4950000000003
Punarbas,crop_monsoon,ground_nut,1,1029.41
Punarbas,crop_summer,fallow,232,0.0
Punarbas,crop_summer,maize,40,3152.69282051282
Punarbas,crop_summer,sugarcane,35,87317.68057142857
Punarbas,crop_summer,shrub_tree,11,0.0
Punarbas,crop_summer,grassland,10,0.0
Punarbas,crop_summer,banana,8,31211.475000000002
Punarbas,crop_summer,vegetables,7,7037.813333333334
Punarbas,crop_summer,wheat,5,3848.7380000000003
Punarbas,crop_summer,mustard,5,702.656
Punarbas,crop_summer,vegetable_mixes,4,2745.0975
Punarbas,crop_summer,soyabean,1,12254.9
Punarbas,crop_summer,pea,1,210.08
Punarbas,crop_summer,spices,1,147.06
Punarbas,crop_winter,wheat,163,2816.3696273291926
Punarbas,crop_winter,mustard,81,1071.207741935484
Punarbas,crop_winter,sugarcane,38,87561.59815789472
Punarbas,crop_winter,lentil,27,732.4933333333333
Punarbas,crop_winter,potato,14,7373.949230769232
Punarbas,crop_winter,vegetables,13,10609.243333333332
Punarbas,crop_winter,shrub_tree,11,0.0
Punarbas,crop_winter,fallow,9,0.0
Punarbas,crop_winter,banana,8,31211.475000000002
Punarbas,crop_winter,grassland,6,0.0
Punarbas,crop_winter,pulses,3,600.4899999999999
Punarbas,crop_winter,pea,3,1838.24
Punarbas,crop_winter,spices,3,2338.9366666666665
Punarbas,crop_winter,vegetable_mixes,2,
Punarbas,crop_winter,black_gram,1,
