,GPS_point,Plot_size,_geolocation,_id,_notes,_submission_time,_uuid,area_in_hectare,crop_monsoon,crop_summer,crop_summer_001,crop_summer_1,crop_winter,crop_winter_001,crop_winter_1,deviceid,district,enum_name,harvest_date_mon,harvest_date_summ,harvest_date_winter,image,other_crop_monsoon,other_crop_summer,palika,plot_area,remarks,rounded_shape_area,shape,shape_area,sowing_date_mon,sowing_date_summ,sowing_date_winter,yield_mons,yield_summ,yield_summ_1,yield_winter,yield_winter_1,crop,yield,season
56,28.6113178 81.1355891 150.8 4.716,Yes,"[28.6113178, 81.1355891]",361884648,[],2024-07-19T11:31:54,25ddc91e-4bc1-4feb-afae-4189eac5fdd1,0.068,rice,other_summer,,,lentil,,,collect:fmXblfq6Jc8niTmb,Kailali,Lal Prasad Bhandari,2024-11-02,,,1721361759217.jpg,,mung,Lamki Chuha,2.0,,914.15,28.611362308790504 81.13585609942675 0.0 0.0;28.611190711404717 81.13575987517834 0.0 0.0;28.611269593256658 81.13553088158369 0.0 0.0;28.611332580961594 81.13558754324913 0.0 0.0;28.611400277985506 81.13546416163445 0.0 0.0;28.611479454014663 81.1353401094675 0.0 0.0;28.61159336143143 81.1354024708271 0.0 0.0;28.611464737285132 81.13561905920506 0.0 0.0;28.611362308790504 81.13585609942675 0.0 0.0,914.1508871386409,2024-07-10,,,2941.18,588.24,,735.29,,lentil,735.29,winter
56,28.6113178 81.1355891 150.8 4.716,Yes,"[28.6113178, 81.1355891]",361884648,[],2024-07-19T11:31:54,25ddc91e-4bc1-4feb-afae-4189eac5fdd1,0.068,rice,other_summer,,,lentil,,,collect:fmXblfq6Jc8niTmb,Kailali,Lal Prasad Bhandari,2024-11-02,,,1721361759217.jpg,,mung,Lamki Chuha,2.0,,914.15,28.611362308790504 81.13585609942675 0.0 0.0;28.611190711404717 81.13575987517834 0.0 0.0;28.611269593256658 81.13553088158369 0.0 0.0;28.611332580961594 81.13558754324913 0.0 0.0;28.611400277985506 81.13546416163445 0.0 0.0;28.611479454014663 81.1353401094675 0.0 0.0;28.61159336143143 81.1354024708271 0.0 0.0;28.611464737285132 81.13561905920506 0.0 0.0;28.611362308790504 81.13585609942675 0.0 0.0,914.1508871386409,2024-07-10,,,2941.18,588.24,,735.29,,mung,588.24,summer
56,28.6113178 81.1355891 150.8 4.716,Yes,"[28.6113178, 81.1355891]",361884648,[],2024-07-19T11:31:54,25ddc91e-4bc1-4feb-afae-4189eac5fdd1,0.068,rice,other_summer,,,lentil,,,collect:fmXblfq6Jc8niTmb,Kailali,Lal Prasad Bhandari,2024-11-02,,,1721361759217.jpg,,mung,Lamki Chuha,2.0,,914.15,28.611362308790504 81.13585609942675 0.0 0.0;28.611190711404717 81.13575987517834 0.0 0.0;28.611269593256658 81.13553088158369 0.0 0.0;28.611332580961594 81.13558754324913 0.0 0.0;28.611400277985506 81.13546416163445 0.0 0.0;28.611479454014663 81.1353401094675 0.0 0.0;28.61159336143143 81.1354024708271 0.0 0.0;28.611464737285132 81.13561905920506 0.0 0.0;28.611362308790504 81.13585609942675 0.0 0.0,914.1508871386409,2024-07-10,,,2941.18,588.24,,735.29,,rice,2941.18,monsoon
57,28.6149507 81.1351557 164.0 4.433,Yes,"[28.6149507, 81.1351557]",361884660,[],2024-07-19T11:31:57,e5b73bff-1172-48ef-9272-e97a6d8c4404,0.17,rice,fallow,,,wheat,,,collect:fmXblfq6Jc8niTmb,Kailali,Lal Prasad Bhandari,2024-10-21,,2024-03-20,1721366142273.jpg,,,Lamki Chuha,5.0,,2032.05,28.614972852928705 81.1350192502141 0.0 0.0;28.615183883584105 81.13514397293329 0.0 0.0;28.614841878319826 81.13584235310555 0.0 0.0;28.614638499446134 81.13571897149086 0.0 0.0;28.614972852928705 81.1350192502141 0.0 0.0,2032.0542432471843,2024-06-28,,2023-11-20,2941.18,,,3235.29,,wheat,3235.29,winter
57,28.6149507 81.1351557 164.0 4.433,Yes,"[28.6149507, 81.1351557]",361884660,[],2024-07-19T11:31:57,e5b73bff-1172-48ef-9272-e97a6d8c4404,0.17,rice,fallow,,,wheat,,,collect:fmXblfq6Jc8niTmb,Kailali,Lal Prasad Bhandari,2024-10-21,,2024-03-20,1721366142273.jpg,,,Lamki Chuha,5.0,,2032.05,28.614972852928705 81.1350192502141 0.0 0.0;28.615183883584105 81.13514397293329 0.0 0.0;28.614841878319826 81.13584235310555 0.0 0.0;28.614638499446134 81.13571897149086 0.0 0.0;28.614972852928705 81.1350192502141 0.0 0.0,2032.0542432471843,2024-06-28,,2023-11-20,2941.18,,,3235.29,,fallow,,summer
57,28.6149507 81.1351557 164.0 4.433,Yes,"[28.6149507, 81.1351557]",361884660,[],2024-07-19T11:31:57,e5b73bff-1172-48ef-9272-e97a6d8c4404,0.17,rice,fallow,,,wheat,,,collect:fmXblfq6Jc8niTmb,Kailali,Lal Prasad Bhandari,2024-10-21,,2024-03-20,1721366142273.jpg,,,Lamki Chuha,5.0,,2032.05,28.614972852928705 81.1350192502141 0.0 0.0;28.615183883584105 81.13514397293329 0.0 0.0;28.614841878319826 81.13584235310555 0.0 0.0;28.614638499446134 81.13571897149086 0.0 0.0;28.614972852928705 81.1350192502141 0.0 0.0,2032.0542432471843,2024-06-28,,2023-11-20,2941.18,,,3235.29,,rice,2941.18,monsoon
58,28.6140965 81.1336691 198.7 4.894,Yes,"[28.6140965, 81.1336691]",361884677,[],2024-07-19T11:32:00,f371e9b4-12c4-44c5-95ca-2e0f4ca85120,0.20400000000000001,rice,fallow,,,multiple_crops_1,,,collect:fmXblfq6Jc8niTmb,Kailali,Lal Prasad Bhandari,2024-10-03,,,1721367633659.jpg,,,Lamki Chuha,6.0,Musuro-300 kG utpadan bhayeko,1962.77,28.61402041362118 81.13385081291199 0.0 0.0;28.61390533152542 81.1337985098362 0.0 0.0;28.613803788395032 81.13373950123787 0.0 0.0;28.613883256940206 81.13348200917244 0.0 0.0;28.613955367234723 81.13329157233238 0.0 0.0;28.613983917011115 81.13320104777813 0.0 0.0;28.6140295377717 81.13309677690268 0.0 0.0;28.614057793200605 81.1330159753561 0.0 0.0;28.61417169782121 81.1330746486783 0.0 0.0;28.61417611272649 81.13314740359783 0.0 0.0;28.614140204824754 81.13323826342821 0.0 0.0;28.614205839750593 81.13329358398914 0.0 0.0;28.614189357441244 81.13337069749832 0.0 0.0;28.614247339839494 81.1333928257227 0.0 0.0;28.61424940012717 81.13348871469498 0.0 0.0;28.614152566562822 81.13346423953772 0.0 0.0;28.61402041362118 81.13385081291199 0.0 0.0,1962.768713444414,2024-07-04,,,3921.57,,,588.24,,fallow,,summer
58,28.6140965 81.1336691 198.7 4.894,Yes,"[28.6140965, 81.1336691]",361884677,[],2024-07-19T11:32:00,f371e9b4-12c4-44c5-95ca-2e0f4ca85120,0.20400000000000001,rice,fallow,,,multiple_crops_1,,,collect:fmXblfq6Jc8niTmb,Kailali,Lal Prasad Bhandari,2024-10-03,,,1721367633659.jpg,,,Lamki Chuha,6.0,Musuro-300 kG utpadan bhayeko,1962.77,28.61402041362118 81.13385081291199 0.0 0.0;28.61390533152542 81.1337985098362 0.0 0.0;28.613803788395032 81.13373950123787 0.0 0.0;28.613883256940206 81.13348200917244 0.0 0.0;28.613955367234723 81.13329157233238 0.0 0.0;28.613983917011115 81.13320104777813 0.0 0.0;28.6140295377717 81.13309677690268 0.0 0.0;28.614057793200605 81.1330159753561 0.0 0.0;28.61417169782121 81.1330746486783 0.0 0.0;28.61417611272649 81.13314740359783 0.0 0.0;28.614140204824754 81.13323826342821 0.0 0.0;28.614205839750593 81.13329358398914 0.0 0.0;28.614189357441244 81.13337069749832 0.0 0.0;28.614247339839494 81.1333928257227 0.0 0.0;28.61424940012717 81.13348871469498 0.0 0.0;28.614152566562822 81.13346423953772 0.0 0.0;28.61402041362118 81.13385081291199 0.0 0.0,1962.768713444414,2024-07-04,,,3921.57,,,588.24,,rice,3921.57,monsoon
59,28.6132122 81.1344226 132.0 4.16,Yes,"[28.6132122, 81.1344226]",361884691,[],2024-07-19T11:32:03,600f56a2-dff8-425c-a0b6-2366354cbb9e,0.22100000000000003,rice,fallow,,,multiple_crops_1,,,collect:fmXblfq6Jc8niTmb,Kailali,Lal Prasad Bhandari,2024-10-06,,,1721369100645.jpg,,,Lamki Chuha,6.5,"Mustard:200 Kg 
Lentils: 300 kg utpadan bhayeko",2341.33,28.61339378861213 81.13495286554098 0.0 0.0; 28.613281649125 81.13492101430893 0.0 0.0; 28.61321101001651 81.13488614559174 0.0 0.0; 28.613157147664367 81.13486133515835 0.0 0.0; 28.61309327806347 81.13483518362045 0.0 0.0; 28.61303970998116 81.13480266183615 0.0 0.0; 28.613097104354008 81.13461758941412 0.0 0.0; 28.613146257458673 81.13443084061146 0.0 0.0; 28.613184814668365 81.13427225500345 0.0 0.0; 28.613453831752874 81.13435607403517 0.0 0.0; 28.61343911529998 81.13441206514835 0.0 0.0; 28.61353859848136 81.13446738570929 0.0 0.0; 28.613464427597673 81.134730912745 0.0 0.0; 28.61339378861213 81.13495286554098 0.0 0.0,2341.3336616279403,2024-07-01,,,2036.2,,,904.98,,fallow,,summer
59,28.6132122 81.1344226 132.0 4.16,Yes,"[28.6132122, 81.1344226]",361884691,[],2024-07-19T11:32:03,600f56a2-dff8-425c-a0b6-2366354cbb9e,0.22100000000000003,rice,fallow,,,multiple_crops_1,,,collect:fmXblfq6Jc8niTmb,Kailali,Lal Prasad Bhandari,2024-10-06,,,1721369100645.jpg,,,Lamki Chuha,6.5,"Mustard:200 Kg 
Lentils: 300 kg utpadan bhayeko",2341.33,28.61339378861213 81.13495286554098 0.0 0.0; 28.613281649125 81.13492101430893 0.0 0.0; 28.61321101001651 81.13488614559174 0.0 0.0; 28.613157147664367 81.13486133515835 0.0 0.0; 28.61309327806347 81.13483518362045 0.0 0.0; 28.61303970998116 81.13480266183615 0.0 0.0; 28.613097104354008 81.13461758941412 0.0 0.0; 28.613146257458673 81.13443084061146 0.0 0.0; 28.613184814668365 81.13427225500345 0.0 0.0; 28.613453831752874 81.13435607403517 0.0 0.0; 28.61343911529998 81.13441206514835 0.0 0.0; 28.61353859848136 81.13446738570929 0.0 0.0; 28.613464427597673 81.134730912745 0.0 0.0; 28.61339378861213 81.13495286554098 0.0 0.0,2341.3336616279403,2024-07-01,,,2036.2,,,904.98,,rice,2036.2,monsoon
