,GPS_point,Plot_size,_geolocation,_id,_notes,_submission_time,_uuid,area_in_hectare,crop_monsoon,crop_summer,crop_summer_001,crop_summer_1,crop_winter,crop_winter_001,crop_winter_1,deviceid,district,enum_name,harvest_date_mon,harvest_date_summ,harvest_date_winter,image,other_crop_monsoon,other_crop_summer,palika,plot_area,remarks,rounded_shape_area,shape,shape_area,sowing_date_mon,sowing_date_summ,sowing_date_winter,yield_mons,yield_summ,yield_summ_1,yield_winter,yield_winter_1,crop,yield,season
0,28.6774331 80.3634517 137.29998779296875 5.0,Yes,"[28.6774331, 80.3634517]",361550012,[],2024-07-18T13:36:11,e1ca99a2-443e-4d83-922e-b7c0dfeb6442,0.272,rice,fallow,,,wheat,,,collect:wvVomPI1k5UwGRM5,Kanchanpur,Bishnu Gautam,2024-11-13,,2024-03-28,1721269873909.jpg,,,Belauri,8.0,Summar dhan,2701.31,28.67722350073743 80.3637483716011 0.0 0.0;28.67745911474238 80.36382380872965 0.0 0.0;28.677695610663818 80.3626885637641 0.0 0.0;28.67752147441527 80.3626312315464 0.0 0.0;28.67722350073743 80.3637483716011 0.0 0.0,2701.3144480948195,2024-07-18,,2023-11-26,5514.71,,,4411.76,,wheat,4411.76,winter
0,28.6774331 80.3634517 137.29998779296875 5.0,Yes,"[28.6774331, 80.3634517]",361550012,[],2024-07-18T13:36:11,e1ca99a2-443e-4d83-922e-b7c0dfeb6442,0.272,rice,fallow,,,wheat,,,collect:wvVomPI1k5UwGRM5,Kanchanpur,Bishnu Gautam,2024-11-13,,2024-03-28,1721269873909.jpg,,,Belauri,8.0,Summar dhan,2701.31,28.67722350073743 80.3637483716011 0.0 0.0;28.67745911474238 80.36382380872965 0.0 0.0;28.677695610663818 80.3626885637641 0.0 0.0;28.67752147441527 80.3626312315464 0.0 0.0;28.67722350073743 80.3637483716011 0.0 0.0,2701.3144480948195,2024-07-18,,2023-11-26,5514.71,,,4411.76,,fallow,,summer
0,28.6774331 80.3634517 137.29998779296875 5.0,Yes,"[28.6774331, 80.3634517]",361550012,[],2024-07-18T13:36:11,e1ca99a2-443e-4d83-922e-b7c0dfeb6442,0.272,rice,fallow,,,wheat,,,collect:wvVomPI1k5UwGRM5,Kanchanpur,Bishnu Gautam,2024-11-13,,2024-03-28,1721269873909.jpg,,,Belauri,8.0,Summar dhan,2701.31,28.67722350073743 80.3637483716011 0.0 0.0;28.67745911474238 80.36382380872965 0.0 0.0;28.677695610663818 80.3626885637641 0.0 0.0;28.67752147441527 80.3626312315464 0.0 0.0;28.67722350073743 80.3637483716011 0.0 0.0,2701.3144480948195,2024-07-18,,2023-11-26,5514.71,,,4411.76,,rice,5514.71,monsoon
1,28.6747641 80.3668113 110.20000000000002 4.46,Yes,"[28.6747641, 80.3668113]",361550025,[],2024-07-18T13:36:12,465ee468-dfbe-4e2c-b9f0-c263ccb5333d,0.30600000000000005,rice,fallow,,,mustard,,,collect:wvVomPI1k5UwGRM5,Kanchanpur,Bishnu Gautam,2024-10-31,,,1721277482941.jpg,,,Belauri,9.0,Road ko kitta vaiko tyo 20 m napugne bhakole Road chhoder liyako,3173.67,28.674931457696175 80.36682084202766 0.0 0.0;28.674882333534836 80.36698948591948 0.0 0.0;28.674841151585444 80.36711286753416 0.0 0.0;28.67453405139513 80.36704145371914 0.0 0.0;28.67393661539984 80.36689460277557 0.0 0.0;28.674025451494632 80.36658983677626 0.0 0.0;28.674931457696175 80.36682084202766 0.0 0.0,3173.672818469148,2024-07-18,,,3267.97,,,1307.19,,mustard,1307.19,winter
1,28.6747641 80.3668113 110.20000000000002 4.46,Yes,"[28.6747641, 80.3668113]",361550025,[],2024-07-18T13:36:12,465ee468-dfbe-4e2c-b9f0-c263ccb5333d,0.30600000000000005,rice,fallow,,,mustard,,,collect:wvVomPI1k5UwGRM5,Kanchanpur,Bishnu Gautam,2024-10-31,,,1721277482941.jpg,,,Belauri,9.0,Road ko kitta vaiko tyo 20 m napugne bhakole Road chhoder liyako,3173.67,28.674931457696175 80.36682084202766 0.0 0.0;28.674882333534836 80.36698948591948 0.0 0.0;28.674841151585444 80.36711286753416 0.0 0.0;28.67453405139513 80.36704145371914 0.0 0.0;28.67393661539984 80.36689460277557 0.0 0.0;28.674025451494632 80.36658983677626 0.0 0.0;28.674931457696175 80.36682084202766 0.0 0.0,3173.672818469148,2024-07-18,,,3267.97,,,1307.19,,fallow,,summer
1,28.6747641 80.3668113 110.20000000000002 4.46,Yes,"[28.6747641, 80.3668113]",361550025,[],2024-07-18T13:36:12,465ee468-dfbe-4e2c-b9f0-c263ccb5333d,0.30600000000000005,rice,fallow,,,mustard,,,collect:wvVomPI1k5UwGRM5,Kanchanpur,Bishnu Gautam,2024-10-31,,,1721277482941.jpg,,,Belauri,9.0,Road ko kitta vaiko tyo 20 m napugne bhakole Road chhoder liyako,3173.67,28.674931457696175 80.36682084202766 0.0 0.0;28.674882333534836 80.36698948591948 0.0 0.0;28.674841151585444 80.36711286753416 0.0 0.0;28.67453405139513 80.36704145371914 0.0 0.0;28.67393661539984 80.36689460277557 0.0 0.0;28.674025451494632 80.36658983677626 0.0 0.0;28.674931457696175 80.36682084202766 0.0 0.0,3173.672818469148,2024-07-18,,,3267.97,,,1307.19,,rice,3267.97,monsoon
2,28.6731433 80.3733167 138.1999969482422 4.5,Yes,"[28.6731433, 80.3733167]",361550035,[],2024-07-18T13:36:13,68cc8c26-da45-434a-b857-a2719eccecfd,0.10200000000000001,rice,fallow,,,mustard,,,collect:wvVomPI1k5UwGRM5,Kanchanpur,Bishnu Gautam,2024-11-14,,,1721296278902.jpg,,,Belauri,3.0,Ita bhata xeu,1013.52,28.673203861824206 80.37346869707108 0.0 0.0; 28.672848808368848 80.3733191639185 0.0 0.0; 28.672915583219936 80.37308648228645 0.0 0.0; 28.673268577320233 80.37322897464037 0.0 0.0; 28.673203861824206 80.37346869707108 0.0 0.0,1013.5233561249079,2024-06-16,,,5882.35,,,1470.59,,mustard,1470.59,winter
2,28.6731433 80.3733167 138.1999969482422 4.5,Yes,"[28.6731433, 80.3733167]",361550035,[],2024-07-18T13:36:13,68cc8c26-da45-434a-b857-a2719eccecfd,0.10200000000000001,rice,fallow,,,mustard,,,collect:wvVomPI1k5UwGRM5,Kanchanpur,Bishnu Gautam,2024-11-14,,,1721296278902.jpg,,,Belauri,3.0,Ita bhata xeu,1013.52,28.673203861824206 80.37346869707108 0.0 0.0; 28.672848808368848 80.3733191639185 0.0 0.0; 28.672915583219936 80.37308648228645 0.0 0.0; 28.673268577320233 80.37322897464037 0.0 0.0; 28.673203861824206 80.37346869707108 0.0 0.0,1013.5233561249079,2024-06-16,,,5882.35,,,1470.59,,fallow,,summer
2,28.6731433 80.3733167 138.1999969482422 4.5,Yes,"[28.6731433, 80.3733167]",361550035,[],2024-07-18T13:36:13,68cc8c26-da45-434a-b857-a2719eccecfd,0.10200000000000001,rice,fallow,,,mustard,,,collect:wvVomPI1k5UwGRM5,Kanchanpur,Bishnu Gautam,2024-11-14,,,1721296278902.jpg,,,Belauri,3.0,Ita bhata xeu,1013.52,28.673203861824206 80.37346869707108 0.0 0.0; 28.672848808368848 80.3733191639185 0.0 0.0; 28.672915583219936 80.37308648228645 0.0 0.0; 28.673268577320233 80.37322897464037 0.0 0.0; 28.673203861824206 80.37346869707108 0.0 0.0,1013.5233561249079,2024-06-16,,,5882.35,,,1470.59,,rice,5882.35,monsoon
3,28.6748428 80.3718111 109.9 4.65,Yes,"[28.6748428, 80.3718111]",361550049,[],2024-07-18T13:36:14,a5d50707-f6d3-40cf-8858-aea5c9cc48e5,0.23800000000000002,rice,fallow,,,wheat,,,collect:wvVomPI1k5UwGRM5,Kanchanpur,Bishnu Gautam,2024-11-03,,2024-03-28,1721297975211.jpg,,,Belauri,7.0,Gau balima rog lager kam utpadan bhayo ,2582.72,28.674350790986797 80.37277098745108 0.0 0.0;28.67468524834463 80.37286587059498 0.0 0.0;28.674862036718956 80.3722070530057 0.0 0.0;28.674564643791648 80.37206958979368 0.0 0.0;28.674350790986797 80.37277098745108 0.0 0.0,2582.719092477226,2024-06-27,,2023-11-30,5042.02,,,1260.5,,wheat,1260.5,winter
